	sent_index	word_index	word	region	condition
55	2	10	his	subject_gap	that_no-gap_subj
56	2	11	enemy	subject_gap	that_no-gap_subj
57	2	12	during	filler	that_no-gap_subj
58	2	13	breakfast	filler	that_no-gap_subj
59	2	14	surprised	matrix_verb	that_no-gap_subj
60	2	15	the	matrix_gap	that_no-gap_subj
61	2	16	guard	matrix_gap	that_no-gap_subj
62	2	17	last	continuation	that_no-gap_subj
63	2	18	week	continuation	that_no-gap_subj
64	2	20	.	End	that_no-gap_subj
65	2	21	<eos>	End	that_no-gap_subj
66	3	0	The	intro	that_no-gap_subj
67	3	1	fact	intro	that_no-gap_subj
68	3	2	that	intro	that_no-gap_subj
69	3	3	the	subj_subj	that_no-gap_subj
70	3	4	real	subj_subj	that_no-gap_subj
71	3	5	estate	subj_subj	that_no-gap_subj
72	3	6	agent	subj_subj	that_no-gap_subj
73	3	7	remembered	subj_subj	that_no-gap_subj
74	3	8	that	subj_that	that_no-gap_subj
75	3	9	the	subj_embed	that_no-gap_subj
76	3	10	old	subj_embed	that_no-gap_subj
77	3	11	couple	subj_embed	that_no-gap_subj
78	3	12	met	subj_embed	that_no-gap_subj
79	3	13	their	subject_gap	that_no-gap_subj
80	3	14	friends	subject_gap	that_no-gap_subj
81	3	15	at	filler	that_no-gap_subj
82	3	16	the	filler	that_no-gap_subj
83	3	17	club	filler	that_no-gap_subj
84	3	18	shocked	matrix_verb	that_no-gap_subj
85	3	19	his	matrix_gap	that_no-gap_subj
86	3	20	friends	matrix_gap	that_no-gap_subj
87	3	21	over	continuation	that_no-gap_subj
88	3	22	the	continuation	that_no-gap_subj
89	3	23	weekend	continuation	that_no-gap_subj
90	3	25	.	End	that_no-gap_subj
91	3	26	<eos>	End	that_no-gap_subj
92	4	0	The	intro	that_no-gap_subj
93	4	1	fact	intro	that_no-gap_subj
94	4	2	that	intro	that_no-gap_subj
95	4	3	the	subj_subj	that_no-gap_subj
96	4	4	journalist	subj_subj	that_no-gap_subj
97	4	5	stated	subj_subj	that_no-gap_subj
98	4	6	that	subj_that	that_no-gap_subj
99	4	7	the	subj_embed	that_no-gap_subj
100	4	8	president	subj_embed	that_no-gap_subj
101	4	9	fired	subj_embed	that_no-gap_subj
102	4	10	his	subject_gap	that_no-gap_subj
103	4	11	secretary	subject_gap	that_no-gap_subj
104	4	12	without	filler	that_no-gap_subj
105	4	13	warning	filler	that_no-gap_subj
106	4	14	surprised	matrix_verb	that_no-gap_subj
107	4	15	the	matrix_gap	that_no-gap_subj
108	4	16	editor	matrix_gap	that_no-gap_subj
109	4	17	when	continuation	that_no-gap_subj
110	4	18	the	continuation	that_no-gap_subj
111	4	19	article	continuation	that_no-gap_subj
112	4	20	was	continuation	that_no-gap_subj
113	4	21	published	continuation	that_no-gap_subj
114	4	23	.	End	that_no-gap_subj
115	4	24	<eos>	End	that_no-gap_subj
116	5	0	The	intro	that_no-gap_subj
117	5	1	fact	intro	that_no-gap_subj
118	5	2	that	intro	that_no-gap_subj
119	5	3	our	subj_subj	that_no-gap_subj
120	5	4	mother	subj_subj	that_no-gap_subj
121	5	5	does	subj_subj	that_no-gap_subj
122	5	6	not	subj_subj	that_no-gap_subj
123	5	7	know	subj_subj	that_no-gap_subj
124	5	8	that	subj_that	that_no-gap_subj
125	5	9	her	subj_embed	that_no-gap_subj
126	5	10	friend	subj_embed	that_no-gap_subj
127	5	11	trusts	subj_embed	that_no-gap_subj
128	5	12	her	subject_gap	that_no-gap_subj
129	5	13	sister	subject_gap	that_no-gap_subj
130	5	14	with	filler	that_no-gap_subj
131	5	15	her	filler	that_no-gap_subj
132	5	16	will	filler	that_no-gap_subj
133	5	17	surprised	matrix_verb	that_no-gap_subj
134	5	18	us	matrix_gap	that_no-gap_subj
135	5	19	when	continuation	that_no-gap_subj
136	5	20	they	continuation	that_no-gap_subj
137	5	21	found	continuation	that_no-gap_subj
138	5	22	out	continuation	that_no-gap_subj
139	5	24	.	End	that_no-gap_subj
140	5	25	<eos>	End	that_no-gap_subj
141	6	0	The	intro	that_no-gap_subj
142	6	1	fact	intro	that_no-gap_subj
143	6	2	that	intro	that_no-gap_subj
144	6	3	the	subj_subj	that_no-gap_subj
145	6	4	lawyers	subj_subj	that_no-gap_subj
146	6	5	acknowledged	subj_subj	that_no-gap_subj
147	6	6	that	subj_that	that_no-gap_subj
148	6	7	their	subj_embed	that_no-gap_subj
149	6	8	client	subj_embed	that_no-gap_subj
150	6	9	represented	subj_embed	that_no-gap_subj
151	6	10	the	subject_gap	that_no-gap_subj
152	6	11	businessman	subject_gap	that_no-gap_subj
153	6	12	without	filler	that_no-gap_subj
154	6	13	difficulty	filler	that_no-gap_subj
155	6	14	worried	matrix_verb	that_no-gap_subj
156	6	15	the	matrix_gap	that_no-gap_subj
157	6	16	judge	matrix_gap	that_no-gap_subj
158	6	17	over	continuation	that_no-gap_subj
159	6	18	the	continuation	that_no-gap_subj
160	6	19	weekend	continuation	that_no-gap_subj
161	6	21	.	End	that_no-gap_subj
162	6	22	<eos>	End	that_no-gap_subj
163	7	0	The	intro	that_no-gap_subj
164	7	1	fact	intro	that_no-gap_subj
165	7	2	that	intro	that_no-gap_subj
166	7	3	the	subj_subj	that_no-gap_subj
167	7	4	chef	subj_subj	that_no-gap_subj
168	7	5	knew	subj_subj	that_no-gap_subj
169	7	6	that	subj_that	that_no-gap_subj
170	7	7	his	subj_embed	that_no-gap_subj
171	7	8	assistant	subj_embed	that_no-gap_subj
172	7	9	cut	subj_embed	that_no-gap_subj
173	7	10	the	subject_gap	that_no-gap_subj
174	7	11	chef	subject_gap	that_no-gap_subj
175	7	12	by	filler	that_no-gap_subj
176	7	13	accident	filler	that_no-gap_subj
177	7	14	surprised	matrix_verb	that_no-gap_subj
178	7	15	the	matrix_gap	that_no-gap_subj
179	7	16	customers	matrix_gap	that_no-gap_subj
180	7	17	yesterday	continuation	that_no-gap_subj
181	7	18	evening	continuation	that_no-gap_subj
182	7	20	.	End	that_no-gap_subj
183	7	21	<eos>	End	that_no-gap_subj
184	8	0	The	intro	that_no-gap_subj
185	8	1	fact	intro	that_no-gap_subj
186	8	2	that	intro	that_no-gap_subj
187	8	3	the	subj_subj	that_no-gap_subj
188	8	4	journalist	subj_subj	that_no-gap_subj
189	8	5	disclosed	subj_subj	that_no-gap_subj
190	8	6	that	subj_that	that_no-gap_subj
191	8	7	the	subj_embed	that_no-gap_subj
192	8	8	mayor	subj_embed	that_no-gap_subj
193	8	9	talked	subj_embed	that_no-gap_subj
194	8	10	with	subj_embed	that_no-gap_subj
195	8	11	his	subject_gap	that_no-gap_subj
196	8	12	rival	subject_gap	that_no-gap_subj
197	8	13	last	filler	that_no-gap_subj
198	8	14	night	filler	that_no-gap_subj
199	8	15	shocked	matrix_verb	that_no-gap_subj
200	8	16	the	matrix_gap	that_no-gap_subj
201	8	17	donors	matrix_gap	that_no-gap_subj
202	8	18	when	continuation	that_no-gap_subj
203	8	19	they	continuation	that_no-gap_subj
204	8	20	found	continuation	that_no-gap_subj
205	8	21	out	continuation	that_no-gap_subj
206	8	23	.	End	that_no-gap_subj
207	8	24	<eos>	End	that_no-gap_subj
208	9	0	The	intro	that_no-gap_subj
209	9	1	fact	intro	that_no-gap_subj
210	9	2	that	intro	that_no-gap_subj
211	9	3	the	subj_subj	that_no-gap_subj
212	9	4	assistant	subj_subj	that_no-gap_subj
213	9	5	signaled	subj_subj	that_no-gap_subj
214	9	6	that	subj_that	that_no-gap_subj
215	9	7	the	subj_embed	that_no-gap_subj
216	9	8	police	subj_embed	that_no-gap_subj
217	9	9	observed	subj_embed	that_no-gap_subj
218	9	10	the	subject_gap	that_no-gap_subj
219	9	11	activist	subject_gap	that_no-gap_subj
220	9	12	through	filler	that_no-gap_subj
221	9	13	binoculars	filler	that_no-gap_subj
222	9	14	confused	matrix_verb	that_no-gap_subj
223	9	15	the	matrix_gap	that_no-gap_subj
224	9	16	inspectors	matrix_gap	that_no-gap_subj
225	9	17	last	continuation	that_no-gap_subj
226	9	18	month	continuation	that_no-gap_subj
227	9	20	.	End	that_no-gap_subj
228	9	21	<eos>	End	that_no-gap_subj
229	10	0	The	intro	that_no-gap_subj
230	10	1	fact	intro	that_no-gap_subj
231	10	2	that	intro	that_no-gap_subj
232	10	3	the	subj_subj	that_no-gap_subj
233	10	4	guard	subj_subj	that_no-gap_subj
234	10	5	remembered	subj_subj	that_no-gap_subj
235	10	6	that	subj_that	that_no-gap_subj
236	10	7	the	subj_embed	that_no-gap_subj
237	10	8	man	subj_embed	that_no-gap_subj
238	10	9	shot	subj_embed	that_no-gap_subj
239	10	10	the	subject_gap	that_no-gap_subj
240	10	11	senator	subject_gap	that_no-gap_subj
241	10	12	last	filler	that_no-gap_subj
242	10	13	week	filler	that_no-gap_subj
243	10	14	worried	matrix_verb	that_no-gap_subj
244	10	15	the	matrix_gap	that_no-gap_subj
245	10	16	spy	matrix_gap	that_no-gap_subj
246	10	17	when	continuation	that_no-gap_subj
247	10	18	he	continuation	that_no-gap_subj
248	10	19	found	continuation	that_no-gap_subj
249	10	20	out	continuation	that_no-gap_subj
250	10	22	.	End	that_no-gap_subj
251	10	23	<eos>	End	that_no-gap_subj
252	11	0	The	intro	that_no-gap_subj
253	11	1	fact	intro	that_no-gap_subj
254	11	2	that	intro	that_no-gap_subj
255	11	3	the	subj_subj	that_no-gap_subj
256	11	4	reporter	subj_subj	that_no-gap_subj
257	11	5	said	subj_subj	that_no-gap_subj
258	11	6	that	subj_that	that_no-gap_subj
259	11	7	the	subj_embed	that_no-gap_subj
260	11	8	witness	subj_embed	that_no-gap_subj
261	11	9	identified	subj_embed	that_no-gap_subj
262	11	10	the	subject_gap	that_no-gap_subj
263	11	11	suspect	subject_gap	that_no-gap_subj
264	11	12	during	filler	that_no-gap_subj
265	11	13	the	filler	that_no-gap_subj
266	11	14	trial	filler	that_no-gap_subj
267	11	15	worried	matrix_verb	that_no-gap_subj
268	11	16	the	matrix_gap	that_no-gap_subj
269	11	17	official	matrix_gap	that_no-gap_subj
270	11	18	overseeing	continuation	that_no-gap_subj
271	11	19	the	continuation	that_no-gap_subj
272	11	20	case	continuation	that_no-gap_subj
273	11	22	.	End	that_no-gap_subj
274	11	23	<eos>	End	that_no-gap_subj
275	12	0	The	intro	that_no-gap_subj
276	12	1	fact	intro	that_no-gap_subj
277	12	2	that	intro	that_no-gap_subj
278	12	3	the	subj_subj	that_no-gap_subj
279	12	4	newspaper	subj_subj	that_no-gap_subj
280	12	5	stated	subj_subj	that_no-gap_subj
281	12	6	that	subj_that	that_no-gap_subj
282	12	7	the	subj_embed	that_no-gap_subj
283	12	8	congressman	subj_embed	that_no-gap_subj
284	12	9	bribed	subj_embed	that_no-gap_subj
285	12	10	the	subject_gap	that_no-gap_subj
286	12	11	commissioner	subject_gap	that_no-gap_subj
287	12	12	two	filler	that_no-gap_subj
288	12	13	years	filler	that_no-gap_subj
289	12	14	ago	filler	that_no-gap_subj
290	12	15	surprised	matrix_verb	that_no-gap_subj
291	12	16	his	matrix_gap	that_no-gap_subj
292	12	17	daughter	matrix_gap	that_no-gap_subj
293	12	18	when	continuation	that_no-gap_subj
294	12	19	it	continuation	that_no-gap_subj
295	12	20	was	continuation	that_no-gap_subj
296	12	21	published	continuation	that_no-gap_subj
297	12	23	.	End	that_no-gap_subj
298	12	24	<eos>	End	that_no-gap_subj
299	13	0	The	intro	that_no-gap_subj
300	13	1	fact	intro	that_no-gap_subj
301	13	2	that	intro	that_no-gap_subj
302	13	3	the	subj_subj	that_no-gap_subj
303	13	4	article	subj_subj	that_no-gap_subj
304	13	5	stated	subj_subj	that_no-gap_subj
305	13	6	that	subj_that	that_no-gap_subj
306	13	7	the	subj_embed	that_no-gap_subj
307	13	8	author	subj_embed	that_no-gap_subj
308	13	9	liked	subj_embed	that_no-gap_subj
309	13	10	the	subject_gap	that_no-gap_subj
310	13	11	film	subject_gap	that_no-gap_subj
311	13	12	director	subject_gap	that_no-gap_subj
312	13	13	in	filler	that_no-gap_subj
313	13	14	his	filler	that_no-gap_subj
314	13	15	youth	filler	that_no-gap_subj
315	13	16	delighted	matrix_verb	that_no-gap_subj
316	13	17	the	matrix_gap	that_no-gap_subj
317	13	18	literary	matrix_gap	that_no-gap_subj
318	13	19	critics	matrix_gap	that_no-gap_subj
319	13	20	last	continuation	that_no-gap_subj
320	13	21	year	continuation	that_no-gap_subj
321	13	23	.	End	that_no-gap_subj
322	13	24	<eos>	End	that_no-gap_subj
323	14	0	The	intro	that_no-gap_subj
324	14	1	fact	intro	that_no-gap_subj
325	14	2	that	intro	that_no-gap_subj
326	14	3	the	subj_subj	that_no-gap_subj
327	14	4	banker	subj_subj	that_no-gap_subj
328	14	5	found	subj_subj	that_no-gap_subj
329	14	6	out	subj_subj	that_no-gap_subj
330	14	7	that	subj_that	that_no-gap_subj
331	14	8	the	subj_embed	that_no-gap_subj
332	14	9	senator	subj_embed	that_no-gap_subj
333	14	10	will	subj_embed	that_no-gap_subj
334	14	11	nominate	subj_embed	that_no-gap_subj
335	14	12	his	subject_gap	that_no-gap_subj
336	14	13	son	subject_gap	that_no-gap_subj
337	14	14	tomorrow	filler	that_no-gap_subj
338	14	15	surprised	matrix_verb	that_no-gap_subj
339	14	16	the	matrix_gap	that_no-gap_subj
340	14	17	stock	matrix_gap	that_no-gap_subj
341	14	18	trader	matrix_gap	that_no-gap_subj
342	14	19	when	continuation	that_no-gap_subj
343	14	20	he	continuation	that_no-gap_subj
344	14	21	found	continuation	that_no-gap_subj
345	14	22	out	continuation	that_no-gap_subj
346	14	23	about	continuation	that_no-gap_subj
347	14	24	it	continuation	that_no-gap_subj
348	14	26	.	End	that_no-gap_subj
349	14	27	<eos>	End	that_no-gap_subj
350	15	0	The	intro	that_no-gap_subj
351	15	1	fact	intro	that_no-gap_subj
352	15	2	that	intro	that_no-gap_subj
353	15	3	the	subj_subj	that_no-gap_subj
354	15	4	social	subj_subj	that_no-gap_subj
355	15	5	worker	subj_subj	that_no-gap_subj
356	15	6	forgot	subj_subj	that_no-gap_subj
357	15	7	that	subj_that	that_no-gap_subj
358	15	8	her	subj_embed	that_no-gap_subj
359	15	9	client	subj_embed	that_no-gap_subj
360	15	10	does	subj_embed	that_no-gap_subj
361	15	11	not	subj_embed	that_no-gap_subj
362	15	12	like	subj_embed	that_no-gap_subj
363	15	13	her	subject_gap	that_no-gap_subj
364	15	14	father	subject_gap	that_no-gap_subj
365	15	15	with	filler	that_no-gap_subj
366	15	16	great	filler	that_no-gap_subj
367	15	17	passion	filler	that_no-gap_subj
368	15	18	delighted	matrix_verb	that_no-gap_subj
369	15	19	her	matrix_gap	that_no-gap_subj
370	15	20	friends	matrix_gap	that_no-gap_subj
371	15	21	last	continuation	that_no-gap_subj
372	15	22	week	continuation	that_no-gap_subj
373	15	24	.	End	that_no-gap_subj
374	15	25	<eos>	End	that_no-gap_subj
375	16	0	The	intro	that_no-gap_subj
376	16	1	fact	intro	that_no-gap_subj
377	16	2	that	intro	that_no-gap_subj
378	16	3	the	subj_subj	that_no-gap_subj
379	16	4	librarian	subj_subj	that_no-gap_subj
380	16	5	indicated	subj_subj	that_no-gap_subj
381	16	6	that	subj_that	that_no-gap_subj
382	16	7	her	subj_embed	that_no-gap_subj
383	16	8	colleague	subj_embed	that_no-gap_subj
384	16	9	recommended	subj_embed	that_no-gap_subj
385	16	10	the	subject_gap	that_no-gap_subj
386	16	11	man	subject_gap	that_no-gap_subj
387	16	12	to	filler	that_no-gap_subj
388	16	13	the	filler	that_no-gap_subj
389	16	14	board	filler	that_no-gap_subj
390	16	15	worried	matrix_verb	that_no-gap_subj
391	16	16	the	matrix_gap	that_no-gap_subj
392	16	17	town	matrix_gap	that_no-gap_subj
393	16	18	clerk	matrix_gap	that_no-gap_subj
394	16	19	last	continuation	that_no-gap_subj
395	16	20	month	continuation	that_no-gap_subj
396	16	22	.	End	that_no-gap_subj
397	16	23	<eos>	End	that_no-gap_subj
398	17	0	The	intro	that_no-gap_subj
399	17	1	fact	intro	that_no-gap_subj
400	17	2	that	intro	that_no-gap_subj
401	17	3	the	subj_subj	that_no-gap_subj
402	17	4	soldier	subj_subj	that_no-gap_subj
403	17	5	recalled	subj_subj	that_no-gap_subj
404	17	6	that	subj_that	that_no-gap_subj
405	17	7	the	subj_embed	that_no-gap_subj
406	17	8	sergeant	subj_embed	that_no-gap_subj
407	17	9	talked	subj_embed	that_no-gap_subj
408	17	10	with	subj_embed	that_no-gap_subj
409	17	11	the	subject_gap	that_no-gap_subj
410	17	12	private	subject_gap	that_no-gap_subj
411	17	13	during	filler	that_no-gap_subj
412	17	14	training	filler	that_no-gap_subj
413	17	15	annoyed	matrix_verb	that_no-gap_subj
414	17	16	the	matrix_gap	that_no-gap_subj
415	17	17	captain	matrix_gap	that_no-gap_subj
416	17	18	yesterday	continuation	that_no-gap_subj
417	17	19	night	continuation	that_no-gap_subj
418	17	21	.	End	that_no-gap_subj
419	17	22	<eos>	End	that_no-gap_subj
420	18	0	The	intro	that_no-gap_subj
421	18	1	fact	intro	that_no-gap_subj
422	18	2	that	intro	that_no-gap_subj
423	18	3	our	subj_subj	that_no-gap_subj
424	18	4	father	subj_subj	that_no-gap_subj
425	18	5	knew	subj_subj	that_no-gap_subj
426	18	6	that	subj_that	that_no-gap_subj
427	18	7	my	subj_embed	that_no-gap_subj
428	18	8	brother	subj_embed	that_no-gap_subj
429	18	9	would	subj_embed	that_no-gap_subj
430	18	10	marry	subj_embed	that_no-gap_subj
431	18	11	his	subject_gap	that_no-gap_subj
432	18	12	high	subject_gap	that_no-gap_subj
433	18	13	school	subject_gap	that_no-gap_subj
434	18	14	sweetheart	subject_gap	that_no-gap_subj
435	18	15	two	filler	that_no-gap_subj
436	18	16	years	filler	that_no-gap_subj
437	18	17	ago	filler	that_no-gap_subj
438	18	18	worried	matrix_verb	that_no-gap_subj
439	18	19	his	matrix_gap	that_no-gap_subj
440	18	20	relatives	matrix_gap	that_no-gap_subj
441	18	21	when	continuation	that_no-gap_subj
442	18	22	they	continuation	that_no-gap_subj
443	18	23	found	continuation	that_no-gap_subj
444	18	24	out	continuation	that_no-gap_subj
445	18	26	.	End	that_no-gap_subj
446	18	27	<eos>	End	that_no-gap_subj
447	19	0	The	intro	that_no-gap_subj
448	19	1	fact	intro	that_no-gap_subj
449	19	2	that	intro	that_no-gap_subj
450	19	3	we	subj_subj	that_no-gap_subj
451	19	4	confirmed	subj_subj	that_no-gap_subj
452	19	5	that	subj_that	that_no-gap_subj
453	19	6	our	subj_embed	that_no-gap_subj
454	19	7	friend	subj_embed	that_no-gap_subj
455	19	8	does	subj_embed	that_no-gap_subj
456	19	9	not	subj_embed	that_no-gap_subj
457	19	10	like	subj_embed	that_no-gap_subj
458	19	11	his	subject_gap	that_no-gap_subj
459	19	12	professor	subject_gap	that_no-gap_subj
460	19	13	greatly	filler	that_no-gap_subj
461	19	14	surprised	matrix_verb	that_no-gap_subj
462	19	15	my	matrix_gap	that_no-gap_subj
463	19	16	mother	matrix_gap	that_no-gap_subj
464	19	17	many	continuation	that_no-gap_subj
465	19	18	years	continuation	that_no-gap_subj
466	19	19	ago	continuation	that_no-gap_subj
467	19	21	.	End	that_no-gap_subj
468	19	22	<eos>	End	that_no-gap_subj
469	20	0	The	intro	that_no-gap_subj
470	20	1	fact	intro	that_no-gap_subj
471	20	2	that	intro	that_no-gap_subj
472	20	3	the	subj_subj	that_no-gap_subj
473	20	4	detective	subj_subj	that_no-gap_subj
474	20	5	remembered	subj_subj	that_no-gap_subj
475	20	6	that	subj_that	that_no-gap_subj
476	20	7	the	subj_embed	that_no-gap_subj
477	20	8	suspect	subj_embed	that_no-gap_subj
478	20	9	followed	subj_embed	that_no-gap_subj
479	20	10	the	subject_gap	that_no-gap_subj
480	20	11	drug	subject_gap	that_no-gap_subj
481	20	12	dealer	subject_gap	that_no-gap_subj
482	20	13	around	filler	that_no-gap_subj
483	20	14	town	filler	that_no-gap_subj
484	20	15	surprised	matrix_verb	that_no-gap_subj
485	20	16	his	matrix_gap	that_no-gap_subj
486	20	17	assistant	matrix_gap	that_no-gap_subj
487	20	18	when	continuation	that_no-gap_subj
488	20	19	she	continuation	that_no-gap_subj
489	20	20	found	continuation	that_no-gap_subj
490	20	21	out	continuation	that_no-gap_subj
491	20	23	.	End	that_no-gap_subj
492	20	24	<eos>	End	that_no-gap_subj
493	21	0	The	intro	that_no-gap_subj
494	21	1	fact	intro	that_no-gap_subj
495	21	2	that	intro	that_no-gap_subj
496	21	3	the	subj_subj	that_no-gap_subj
497	21	4	man	subj_subj	that_no-gap_subj
498	21	5	said	subj_subj	that_no-gap_subj
499	21	6	that	subj_that	that_no-gap_subj
500	21	7	the	subj_embed	that_no-gap_subj
501	21	8	old	subj_embed	that_no-gap_subj
502	21	9	woman	subj_embed	that_no-gap_subj
503	21	10	hit	subj_embed	that_no-gap_subj
504	21	11	the	subject_gap	that_no-gap_subj
505	21	12	boy	subject_gap	that_no-gap_subj
506	21	13	during	filler	that_no-gap_subj
507	21	14	Sunday	filler	that_no-gap_subj
508	21	15	school	filler	that_no-gap_subj
509	21	16	annoyed	matrix_verb	that_no-gap_subj
510	21	17	the	matrix_gap	that_no-gap_subj
511	21	18	people	matrix_gap	that_no-gap_subj
512	21	19	yesterday	continuation	that_no-gap_subj
513	21	20	evening	continuation	that_no-gap_subj
514	21	22	.	End	that_no-gap_subj
515	21	23	<eos>	End	that_no-gap_subj
516	22	0	The	intro	that_no-gap_subj
517	22	1	fact	intro	that_no-gap_subj
518	22	2	that	intro	that_no-gap_subj
519	22	3	my	subj_subj	that_no-gap_subj
520	22	4	friend	subj_subj	that_no-gap_subj
521	22	5	remembered	subj_subj	that_no-gap_subj
522	22	6	that	subj_that	that_no-gap_subj
523	22	7	the	subj_embed	that_no-gap_subj
524	22	8	policeman	subj_embed	that_no-gap_subj
525	22	9	saved	subj_embed	that_no-gap_subj
526	22	10	the	subject_gap	that_no-gap_subj
527	22	11	old	subject_gap	that_no-gap_subj
528	22	12	man	subject_gap	that_no-gap_subj
529	22	13	during	filler	that_no-gap_subj
530	22	14	the	filler	that_no-gap_subj
531	22	15	flood	filler	that_no-gap_subj
532	22	16	reassured	matrix_verb	that_no-gap_subj
533	22	17	his	matrix_gap	that_no-gap_subj
534	22	18	teacher	matrix_gap	that_no-gap_subj
535	22	19	last	continuation	that_no-gap_subj
536	22	20	weekend	continuation	that_no-gap_subj
537	22	22	.	End	that_no-gap_subj
538	22	23	<eos>	End	that_no-gap_subj
539	23	0	The	intro	that_no-gap_subj
540	23	1	fact	intro	that_no-gap_subj
541	23	2	that	intro	that_no-gap_subj
542	23	3	the	subj_subj	that_no-gap_subj
543	23	4	doctor	subj_subj	that_no-gap_subj
544	23	5	recalled	subj_subj	that_no-gap_subj
545	23	6	that	subj_that	that_no-gap_subj
546	23	7	the	subj_embed	that_no-gap_subj
547	23	8	patient	subj_embed	that_no-gap_subj
548	23	9	likes	subj_embed	that_no-gap_subj
549	23	10	the	subject_gap	that_no-gap_subj
550	23	11	football	subject_gap	that_no-gap_subj
551	23	12	star	subject_gap	that_no-gap_subj
552	23	13	very	filler	that_no-gap_subj
553	23	14	much	filler	that_no-gap_subj
554	23	15	delighted	matrix_verb	that_no-gap_subj
555	23	16	his	matrix_gap	that_no-gap_subj
556	23	17	parents	matrix_gap	that_no-gap_subj
557	23	18	at	continuation	that_no-gap_subj
558	23	19	the	continuation	that_no-gap_subj
559	23	20	hospital	continuation	that_no-gap_subj
560	23	22	.	End	that_no-gap_subj
561	23	23	<eos>	End	that_no-gap_subj
562	0	0	The	intro	that_gap_subj
563	0	1	fact	intro	that_gap_subj
564	0	2	that	intro	that_gap_subj
565	0	3	my	subj_subj	that_gap_subj
566	0	4	brother	subj_subj	that_gap_subj
567	0	5	said	subj_subj	that_gap_subj
568	0	6	that	subj_that	that_gap_subj
569	0	7	his	subj_embed	that_gap_subj
570	0	8	friend	subj_embed	that_gap_subj
571	0	9	trusted	subj_embed	that_gap_subj
572	0	10	at	filler	that_gap_subj
573	0	11	the	filler	that_gap_subj
574	0	12	party	filler	that_gap_subj
575	0	13	surprised	matrix_verb	that_gap_subj
576	0	14	my	matrix_gap	that_gap_subj
577	0	15	daughter	matrix_gap	that_gap_subj
578	0	16	yesterday	continuation	that_gap_subj
579	0	17	afternoon	continuation	that_gap_subj
580	0	19	.	End	that_gap_subj
581	0	20	<eos>	End	that_gap_subj
582	1	0	The	intro	that_gap_subj
583	1	1	fact	intro	that_gap_subj
584	1	2	that	intro	that_gap_subj
585	1	3	the	subj_subj	that_gap_subj
586	1	4	policeman	subj_subj	that_gap_subj
587	1	5	knows	subj_subj	that_gap_subj
588	1	6	that	subj_that	that_gap_subj
589	1	7	the	subj_embed	that_gap_subj
590	1	8	criminal	subj_embed	that_gap_subj
591	1	9	shot	subj_embed	that_gap_subj
592	1	10	with	filler	that_gap_subj
593	1	11	a	filler	that_gap_subj
594	1	12	gun	filler	that_gap_subj
595	1	13	reassured	matrix_verb	that_gap_subj
596	1	14	the	matrix_gap	that_gap_subj
